game,combination,draw_date,jackpot_php,winners
4D Lotto,8-2-1-0,2/23/2018,10000.00,70
4D Lotto,7-1-9-0,2/26/2018,73712.00,15
4D Lotto,8-7-8-1,2/28/2018,24173.00,41
4D Lotto,8-3-4-9,3/2/2018,27907.00,35
4D Lotto,3-9-5-7,3/5/2018,16655.00,51
4D Lotto,7-6-2-7,3/7/2018,19856.00,27
4D Lotto,2-1-8-8,3/9/2018,16449.00,51
4D Lotto,4-0-5-0,3/12/2018,12658.00,36
4D Lotto,8-1-0-1,3/14/2018,37104.00,18
4D Lotto,0-6-4-3,3/16/2018,57996.00,18
4D Lotto,4-0-6-0,3/19/2018,32440.00,28
4D Lotto,4-1-3-3,3/21/2018,21689.00,41
4D Lotto,0-2-0-7,3/23/2018,27114.00,36
4D Lotto,5-3-3-6,3/26/2018,79830.00,13
4D Lotto,3-2-2-4,3/28/2018,20179.00,26
4D Lotto,1-4-0-5,4/2/2018,16516.00,48
4D Lotto,1-2-5-7,4/4/2018,14073.00,63
4D Lotto,2-7-3-5,4/6/2018,10127.00,99
4D Lotto,2-5-6-8,4/9/2018,25496.00,34
4D Lotto,1-2-7-4,4/11/2018,29332.00,32
4D Lotto,2-8-2-2,4/13/2018,10849.00,61
4D Lotto,9-6-1-5,4/16/2018,17552.00,36
4D Lotto,4-3-5-4,4/18/2018,55895.00,16
4D Lotto,7-5-3-6,4/20/2018,35103.00,28
4D Lotto,0-3-3-9,4/23/2018,43488.00,22
4D Lotto,3-7-6-6,4/25/2018,39811.00,23
4D Lotto,5-5-6-7,4/27/2018,36477.00,25
4D Lotto,7-1-7-0,4/30/2018,39985.00,24
4D Lotto,2-4-5-6,5/2/2018,36035.00,24
4D Lotto,4-5-2-4,5/4/2018,20085.00,23
4D Lotto,8-2-1-7,5/7/2018,11931.00,28
4D Lotto,2-5-9-8,5/9/2018,31390.00,31
4D Lotto,4-8-0-4,5/11/2018,99231.00,9
4D Lotto,5-3-6-4,5/14/2018,16891.00,46
4D Lotto,3-1-1-5,5/16/2018,10000.00,75
4D Lotto,5-5-5-5,5/18/2018,10000.00,180
4D Lotto,6-4-0-1,5/21/2018,25363.00,36
4D Lotto,2-4-3-4,5/23/2018,28695.00,31
4D Lotto,8-0-3-1,5/25/2018,24726.00,28
4D Lotto,4-0-0-7,5/28/2018,95473.00,9
4D Lotto,7-6-7-8,5/30/2018,35062.00,26
4D Lotto,5-2-4-9,6/1/2018,23339.00,37
4D Lotto,4-6-1-5,6/4/2018,19556.00,34
4D Lotto,2-7-2-4,6/6/2018,10000.00,88
4D Lotto,8-4-3-0,6/8/2018,20588.00,26
4D Lotto,0-7-7-2,6/11/2018,33205.00,27
4D Lotto,6-5-4-0,6/13/2018,81400.00,11
4D Lotto,7-0-8-5,6/15/2018,100914.00,10
4D Lotto,2-4-2-1,6/18/2018,10453.00,56
4D Lotto,2-8-7-2,6/20/2018,47345.00,20
4D Lotto,4-5-8-9,6/22/2018,53912.00,18
4D Lotto,3-8-5-8,6/25/2018,22269.00,31
4D Lotto,7-8-5-1,6/27/2018,96815.00,9
4D Lotto,8-0-8-8,6/29/2018,22121.00,37
4D Lotto,9-6-5-6,7/2/2018,65340.00,13
4D Lotto,4-1-2-8,7/4/2018,10041.00,44
4D Lotto,1-1-6-0,7/6/2018,19435.00,48
4D Lotto,7-1-5-6,7/9/2018,33541.00,27
4D Lotto,6-4-5-9,7/11/2018,34919.00,25
4D Lotto,7-9-5-2,7/13/2018,73857.00,12
4D Lotto,9-9-6-3,7/16/2018,43054.00,19
4D Lotto,0-7-7-1,7/18/2018,39036.00,21
4D Lotto,3-6-4-1,7/20/2018,24146.00,37
4D Lotto,7-0-3-3,7/23/2018,86080.00,8
